site_id,kpi_date,kpi_hour,kpi_global
AC01L,2026-03-26,,99.61
AC01L,2026-03-28,,99.69
AC01L,2026-03-29,,99.78
AC01L,2026-03-29,,99.80
AC01L,2026-03-31,,99.82
AC01L,2026-03-31,,99.56
AC01L,2026-03-31,,99.56
AC01L,2026-04-01,,99.51
AC01L,2026-04-02,,99.54
AC01L,2026-04-02,,99.67
AC01L,2026-04-02,,99.76
AC11L,2026-03-26,,99.78
AC11L,2026-03-28,,99.70
AC11L,2026-03-29,,99.63
AC11L,2026-03-29,,99.83
AC11L,2026-03-31,,99.86
AC11L,2026-03-31,,99.81
AC11L,2026-03-31,,99.80
AC11L,2026-04-01,,99.65
AC11L,2026-04-02,,99.61
AC11L,2026-04-02,,99.82
AC11L,2026-04-02,,99.85
AC24L,2026-03-26,,99.66
AC24L,2026-03-28,,99.64
AC24L,2026-03-29,,99.82
AC24L,2026-03-29,,99.83
AC24L,2026-03-31,,99.81
AC24L,2026-03-31,,99.77
AC24L,2026-03-31,,99.70
AC24L,2026-04-01,,99.54
AC24L,2026-04-02,,99.56
AC24L,2026-04-02,,99.79
AC24L,2026-04-02,,99.81
AC28L,2026-03-26,,99.75
AC28L,2026-03-28,,99.63
AC28L,2026-03-29,,99.70
AC28L,2026-03-29,,99.69
AC28L,2026-03-31,,99.87
AC28L,2026-03-31,,99.40
AC28L,2026-03-31,,99.60
AC28L,2026-04-01,,99.47
AC28L,2026-04-02,,99.54
AC28L,2026-04-02,,99.56
AC28L,2026-04-02,,99.87
AC33L,2026-03-26,,99.60
AC33L,2026-03-28,,99.55
AC33L,2026-03-29,,99.68
AC33L,2026-03-29,,99.76
AC33L,2026-03-31,,99.83
AC33L,2026-03-31,,99.52
AC33L,2026-03-31,,99.59
AC33L,2026-04-01,,99.38
AC33L,2026-04-02,,99.54
AC33L,2026-04-02,,99.58
AC33L,2026-04-02,,99.81
AC37L,2026-03-26,,99.36
AC37L,2026-03-28,,94.43
AC37L,2026-03-29,,94.43
AC37L,2026-03-29,,99.87
AC37L,2026-03-31,,99.84
AC37L,2026-03-31,,99.42
AC37L,2026-03-31,,99.41
AC37L,2026-04-01,,97.28
AC37L,2026-04-02,,95.62
AC37L,2026-04-02,,99.70
AC37L,2026-04-02,,99.70
AC42L,2026-03-28,,99.23
AC42L,2026-03-29,,99.66
AC42L,2026-03-29,,99.83
AC42L,2026-03-31,,99.68
AC42L,2026-03-31,,99.21
AC42L,2026-03-31,,99.23
AC42L,2026-04-01,,98.39
AC42L,2026-04-02,,98.30
AC42L,2026-04-02,,98.84
AC42L,2026-04-02,,99.37
AC76G,2026-03-26,,99.34
AC76G,2026-03-28,,99.61
AC76G,2026-03-29,,99.82
AC76G,2026-03-29,,99.04
AC76G,2026-03-31,,99.63
AC76G,2026-03-31,,98.79
AC76G,2026-03-31,,98.97
AC76G,2026-04-01,,96.24
AC76G,2026-04-02,,95.09
AC76G,2026-04-02,,99.39
AC76G,2026-04-02,,98.01
AC76H,2026-03-26,,99.49
AC76H,2026-03-28,,99.82
AC76H,2026-03-29,,99.87
AC76H,2026-03-29,,98.48
AC76H,2026-03-31,,99.45
AC76H,2026-03-31,,99.55
AC76H,2026-03-31,,99.44
AC76H,2026-04-01,,96.78
AC76H,2026-04-02,,97.05
AC76H,2026-04-02,,99.53
AC76H,2026-04-02,,99.87
AC76I,2026-03-26,,99.13
AC76I,2026-03-28,,99.46
AC76I,2026-03-29,,99.15
AC76I,2026-03-29,,99.32
AC76I,2026-03-31,,96.54
AC76I,2026-03-31,,99.39
AC76I,2026-03-31,,98.87
AC76I,2026-04-01,,95.90
AC76I,2026-04-02,,95.18
AC76I,2026-04-02,,98.90
AC76I,2026-04-02,,99.28
ET98L,2026-03-26,,99.57
ET98L,2026-03-28,,99.64
ET98L,2026-03-29,,99.81
ET98L,2026-03-29,,99.85
ET98L,2026-03-31,,99.87
ET98L,2026-03-31,,99.69
ET98L,2026-03-31,,99.52
ET98L,2026-04-01,,99.59
ET98L,2026-04-02,,99.68
ET98L,2026-04-02,,99.75
ET98L,2026-04-02,,99.82
